Cell line name	Analysis Set Name	COSMIC ID	Sanger_ID	GDSC description_1	GDSC description_2	Study Abbreviation	Comment	MMR	Analysis Set	Exome	SNP6	expression	methylation	IC50s	Comment - genetics
LB771-HNC	LB771-HNC	753583	1710STDY5035554	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
OSC-19	OSC-19	1298362	CGP_CCL5103722	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
OSC-20	OSC-20	1240196	1710STDY5035529	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
PCI-15A	PCI-15A	1240204	1710STDY5035531	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Not commercially available
PCI-30	PCI-30	1298529	1710STDY5035556	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Not commercially available
PCI-38	PCI-38	1240205	1710STDY5035532	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Not commercially available
PCI-4B	PCI-4B	1298531	1710STDY5035559	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Not commercially available
PCI-6A	PCI-6A	1240206	1710STDY5035558	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Not commercially available
PE_CA-PJ15	PE/CA-PJ15	1240207	1710STDY5035530	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
RPMI-2650	RPMI-2650	909700	1710STDY5035550	aero_dig_tract	head and neck	HNSC	nasal squamous cell carcinoma	MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
SAS	SAS	909708	1710STDY5035528	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
SAT	SAT	1299050	CGP_CCL5306224	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
SCC-15	SCC-15	910911	1710STDY5035524	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
SCC-25	SCC-25	910701	1710STDY5035539	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
SCC-4	SCC-4	910904	1710STDY5035544	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
SCC-9	SCC-9	909709	1710STDY5035526	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
SKN-3	SKN-3	1299059	CGP_CCL5306152	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
COLO-680N	COLO-680N	906817	1710STDY5034847	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
EC-GI-10	EC-GI-10	753555	1710STDY5034846	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
ESO26	ESO26	1503366	CGP_CCL5228690	aero_dig_tract	oesophagus	ESCA		MSI-L	Yes	Yes	Yes	Yes	Yes	Yes	
ESO51	ESO51	1503367	CGP_CCL5228718	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
FLO-1	FLO-1	1503361	CGP_CCL5228698	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
HCE-4	HCE-4	753559	1710STDY5034830	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
KYAE-1	KYAE-1	1503368	CGP_CCL5228731	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
KYSE-140	KYSE-140	753573	1710STDY5034833	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
KYSE-150	KYSE-150	907317	1710STDY5034832	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
KYSE-180	KYSE-180	907318	1710STDY5034831	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
KYSE-220	KYSE-220	1240167	1710STDY5034827	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
KYSE-270	KYSE-270	907319	1710STDY5034829	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
KYSE-410	KYSE-410	753574	1710STDY5034824	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
KYSE-450	KYSE-450	907320	1710STDY5034845	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
KYSE-50	KYSE-50	1298222	1710STDY5034821	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
KYSE-510	KYSE-510	907321	1710STDY5034844	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
KYSE-520	KYSE-520	753575	1710STDY5034843	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
KYSE-70	KYSE-70	753576	1710STDY5034826	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
OACM5-1	OACM5-1	1503363	CGP_CCL5228684	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
OACp4C	OACp4C	1503362	CGP_CCL5228713	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
OE19	OE19	910079	1710STDY5034842	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
OE21	OE21	1298359	1710STDY5034822	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
OE33	OE33	910549	1710STDY5034828	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
SK-GT-4	SK-GT-4	1503365	CGP_CCL5228706	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
TE-1	TE-1	753621	1710STDY5034840	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
TE-10	TE-10	753622	1710STDY5034841	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
TE-11	TE-11	946354	1710STDY5034825	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
TE-12	TE-12	946356	1710STDY5034839	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
TE-15	TE-15	753614	1710STDY5034838	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
TE-4	TE-4	1503371	CGP_CCL5103695	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
TE-5	TE-5	735784	1710STDY5034837	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
TE-6	TE-6	946355	1710STDY5034836	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
TE-8	TE-8	753623	1710STDY5034835	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
TE-9	TE-9	946353	1710STDY5034834	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
T-T	T-T	1299064	CGP_CCL5306159	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
CESS	CESS	910688	1710STDY5034905	leukemia	acute_myeloid_leukaemia	LAML		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
CMK	CMK	910566	1710STDY5034891	leukemia	acute_myeloid_leukaemia	LAML		MSI-S	Yes	Yes	Yes	Yes	No	Yes	
CTV-1	CTV-1	753548	1710STDY5034892	leukemia	acute_myeloid_leukaemia	LAML		MSI-H	Yes	Yes	Yes	Yes	Yes	Yes	
GDM-1	GDM-1	906870	CGP_CCL5391656	leukemia	acute_myeloid_leukaemia	LAML		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
HEL	HEL	907053	1710STDY5034909	leukemia	acute_myeloid_leukaemia	LAML		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
HL-60	HL-60	905938	1710STDY5034929	leukemia	acute_myeloid_leukaemia	LAML		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
KASUMI-1	KASUMI-1	907275	1710STDY5034897	leukemia	acute_myeloid_leukaemia	LAML		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
KG-1	KG-1	907278	1710STDY5034855	leukemia	acute_myeloid_leukaemia	LAML		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
KMOE-2	KMOE-2	907280	1710STDY5034858	leukemia	acute_myeloid_leukaemia	LAML		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
KO52	KO52	1330932	1710STDY5034956	leukemia	acute_myeloid_leukaemia	LAML		MSI-L	Yes	Yes	Yes	No	No	No	
ME-1	ME-1	1330942	CGP_CCL5306251	leukemia	acute_myeloid_leukaemia	LAML		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
ML-2	ML-2	908141	1710STDY5034868	leukemia	acute_myeloid_leukaemia	LAML		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
MOLM-13	MOLM-13	1330947	CGP_CCL5306219	leukemia	acute_myeloid_leukaemia	LAML		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
MONO-MAC-6	MONO-MAC-6	908148	1710STDY5034871	leukemia	acute_myeloid_leukaemia	LAML		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
NB4	NB-4	1323913	CGP_CCL5391645	leukemia	acute_myeloid_leukaemia	LAML	#N/A	MSI-S	Yes	Yes	Yes	Yes	No	Yes	
NKM-1	NKM-1	908448	1710STDY5034938	leukemia	acute_myeloid_leukaemia	LAML		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
NOMO-1	NOMO-1	908451	1710STDY5034939	leukemia	acute_myeloid_leukaemia	LAML		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
OCI-AML2	OCI-AML2	910947	1710STDY5034856	leukemia	acute_myeloid_leukaemia	LAML		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
OCI-AML3	OCI-AML3	1290455	1710STDY5034910	leukemia	acute_myeloid_leukaemia	LAML		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
OCI-AML5	OCI-AML5	1330983	CGP_CCL5306153	leukemia	acute_myeloid_leukaemia	LAML		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
OCI-M1	OCI-M1	1330985	CGP_CCL5306180	leukemia	acute_myeloid_leukaemia	LAML		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
P31-FUJ	P31-FUJ	909253	1710STDY5034874	leukemia	acute_myeloid_leukaemia	LAML		MSI-H	Yes	Yes	Yes	Yes	Yes	Yes	
PL-21	PL-21	1330991	CGP_CCL5306151	leukemia	acute_myeloid_leukaemia	LAML		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
QIMR-WIL	QIMR-WIL	910545	1710STDY5034940	leukemia	acute_myeloid_leukaemia	LAML		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
SIG-M5	SIG-M5	909715	CGP_CCL5306287	leukemia	acute_myeloid_leukaemia	LAML		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
THP-1	THP-1	909771	1710STDY5034883	leukemia	acute_myeloid_leukaemia	LAML		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
KARPAS-299	KARPAS-299	907273	CGP_CCL5103846	lymphoma	anaplastic_large_cell_lymphoma			MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
SU-DHL-1	SU-DHL-1	909742	CGP_CCL5103781	lymphoma	anaplastic_large_cell_lymphoma			MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
SUP-M2	SUP-M2	1331040	CGP_CCL5306308	lymphoma	anaplastic_large_cell_lymphoma			MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
BALL-1	BALL-1	910705	1710STDY5034889	leukemia	B_cell_leukemia			MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
KARPAS-231	KARPAS-231	1327774	CGP_CCL5306220	leukemia	B_cell_leukemia			MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
KOPN-8	KOPN-8	1330933	CGP_CCL5306222	leukemia	B_cell_leukemia			MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
MHH-CALL-2	MHH-CALL-2	908132	CGP_CCL5369285	leukemia	B_cell_leukemia			MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
MHH-CALL-4	MHH-CALL-4	908133	CGP_CCL5369295	leukemia	B_cell_leukemia			MSI-S	Yes	Yes	Yes	Yes	Yes	No	Poor Growth - Might possibly be improved if re-ordered
MHH-PREB-1	MHH-PREB-1	908136	1710STDY5034867	leukemia	B_cell_leukemia			MSI-H	Yes	Yes	Yes	Yes	Yes	Yes	
MN-60	MN-60	908143	1710STDY5034933	leukemia	B_cell_leukemia			MSI-H	Yes	Yes	Yes	Yes	Yes	Yes	
NALM-6	NALM-6	908158	CGP_CCL5103824	leukemia	B_cell_leukemia			MSI-H	Yes	Yes	Yes	Yes	Yes	Yes	
RCH-ACV	RCH-ACV	1330994	CGP_CCL5391647	leukemia	B_cell_leukemia			MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
REH	REH	909696	1710STDY5034876	leukemia	B_cell_leukemia			MSI-H	Yes	Yes	Yes	Yes	Yes	Yes	
ROS-50	ROS-50	1331025	CGP_CCL5306259	leukemia	B_cell_leukemia			MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
SUP-B8	SUP-B8	910209	1710STDY5034901	leukemia	B_cell_leukemia			MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
U-698-M	U-698-M	909777	1710STDY5034885	leukemia	B_cell_leukemia			MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
A3-KAW	A3-KAW	910935	CGP_CCL5103735	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
A4-Fuk	A4-Fuk	910934	1710STDY5035143	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
BC-1	BC-1	910919	1710STDY5034913	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
BC-3	BC-3	910918	1710STDY5034959	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	No	Yes	Yes	
CRO-AP2	CRO-AP2	906807	1710STDY5034950	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
CTB-1	CTB-1	949088	1710STDY5034896	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
DB	DB	906832	CGP_CCL5103693	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
DOHH-2	DOHH-2	906842	1710STDY5034924	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
Farage	Farage	1297449	CGP_CCL5306272	lymphoma	B_cell_lymphoma	DLBC		MSI-L	Yes	Yes	Yes	Yes	Yes	Yes	
GRANTA-519	GRANTA-519	1303897	CGP_CCL5306250	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
HT	HT	907063	CGP_CCL5369334	lymphoma	B_cell_lymphoma	DLBC		MSI-H	Yes	Yes	Yes	No	Yes	Yes	
JEKO-1	JEKO-1	1327765	CGP_CCL5228676	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
JM1	JM1	1327768	CGP_CCL5306229	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	Yes	No	Yes	
JSC-1	JSC-1	1327769	CGP_CCL5306213	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
KARPAS-1106P	KARPAS-1106P	1327773	CGP_CCL5391663	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
KARPAS-422	KARPAS-422	907274	1710STDY5034887	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
MC116	MC116	907799	1710STDY5034866	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
NU-DUL-1	NU-DUL-1	1330982	CGP_CCL5306202	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
OCI-LY-19	OCI-LY-19	1330984	CGP_CCL5306179	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
RC-K8	RC-K8	1330995	CGP_CCL5306157	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
RL	RL	910861	CGP_CCL5103797	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
Sci-1	SC-1	1331030	CGP_CCL5369301	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	No	No	No	Same cell line as Sci-1 which is already in the collection - All expression and methylation data for Sci-1 needs to be renamed to SC-1
SCC-3	SCC-3	910930	CGP_CCL5103687	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
SLVL	SLVL	1331032	CGP_CCL5306149	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
SU-DHL-10	SU-DHL-10	1331033	CGP_CCL5306181	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
SU-DHL-16	SU-DHL-16	1331034	CGP_CCL5306184	lymphoma	B_cell_lymphoma	DLBC		MSI-L	Yes	Yes	Yes	Yes	Yes	Yes	
SU-DHL-4	SU-DHL-4	1331035	CGP_CCL5306183	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
SU-DHL-5	SU-DHL-5	1331036	CGP_CCL5306306	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
SU-DHL-6	SU-DHL-6	1331037	CGP_CCL5306284	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
SU-DHL-8	SU-DHL-8	1331038	CGP_CCL5306189	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
TK	TK	1331045	CGP_CCL5306249	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
TUR	TUR	909773	1710STDY5034884	lymphoma	B_cell_lymphoma	DLBC		MSI-H	Yes	Yes	Yes	Yes	Yes	Yes	
VAL	VAL	1331048	CGP_CCL5228739	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
WSU-DLCL2	WSU-DLCL2	1331050	CGP_CCL5306170	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
BL-41	BL-41	910706	CGP_CCL5369293	lymphoma	Burkitt_lymphoma			MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
CA46	CA46	910703	1710STDY5034904	lymphoma	Burkitt_lymphoma			MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
Daudi	Daudi	906831	1710STDY5034960	lymphoma	Burkitt_lymphoma			MSI-L	Yes	Yes	Yes	Yes	Yes	Yes	
DG-75	DG-75	906838	1710STDY5034894	lymphoma	Burkitt_lymphoma			MSI-H	Yes	Yes	Yes	Yes	Yes	Yes	
EB2	EB2	906846	1710STDY5034906	lymphoma	Burkitt_lymphoma			MSI-L	Yes	Yes	Yes	Yes	Yes	Yes	
EB-3	EB-3	906847	1710STDY5034907	lymphoma	Burkitt_lymphoma			MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
GA-10	GA-10	1303896	1710STDY5034954	lymphoma	Burkitt_lymphoma			MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
JiyoyeP-2003	JiyoyeP-2003	907268	1710STDY5034908	lymphoma	Burkitt_lymphoma			MSI-L	Yes	Yes	Yes	Yes	Yes	Yes	
NAMALWA	NAMALWA	908159	CGP_CCL5228744	lymphoma	Burkitt_lymphoma			MSI-L	Yes	Yes	Yes	Yes	Yes	Yes	
P32-ISH	P32-ISH	1330987	1710STDY5034953	lymphoma	Burkitt_lymphoma			MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
Raji	Raji	909262	1710STDY5034958	lymphoma	Burkitt_lymphoma			MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
Ramos-2G6-4C10	Ramos-2G6-4C10	910401	1710STDY5034941	lymphoma	Burkitt_lymphoma			MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
ST486	ST486	910906	1710STDY5034880	lymphoma	Burkitt_lymphoma			MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
BV-173	BV-173	910710	1710STDY5034920	leukemia	chronic_myeloid_leukaemia	LCML		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
CML-T1	CML-T1	910951	CGP_CCL5369342	leukemia	chronic_myeloid_leukaemia	LCML		MSI-L	Yes	Yes	Yes	Yes	Yes	Yes	
EM-2	EM-2	906855	CGP_CCL5103725	leukemia	chronic_myeloid_leukaemia	LCML		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
JURL-MK1	JURL-MK1	1327771	CGP_CCL5306214	leukemia	chronic_myeloid_leukaemia	LCML		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
K-562	K-562	905940	CGP_CCL5391671	leukemia	chronic_myeloid_leukaemia	LCML		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
KCL-22	KCL-22	1330931	CGP_CCL5306216	leukemia	chronic_myeloid_leukaemia	LCML		MSI-H	Yes	Yes	Yes	Yes	Yes	Yes	
KU812	KU812	907311	1710STDY5034859	leukemia	chronic_myeloid_leukaemia	LCML		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
LAMA-84	LAMA-84	907783	1710STDY5034863	leukemia	chronic_myeloid_leukaemia	LCML		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
MEG-01	MEG-01	908126	1710STDY5034852	leukemia	chronic_myeloid_leukaemia	LCML		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
RPMI-8866	RPMI-8866	910544	1710STDY5034893	leukemia	chronic_myeloid_leukaemia	LCML		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
AMO-1	AMO-1	1295741	CGP_CCL5306150	myeloma	haematopoietic_neoplasm other	MM	plasmacytoma	MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
