Hugo_Symbol	Entrez_Gene_Id	M032_Pre	M032_R1	M032_R2	M032_R3	M032_R5	M032_R6
PADI3	51702	-0.264	-0.051	0.075	0.121	0.057	0.081
MIR9-1	407046	-0.428	-0.227	0.018	0.032	0.092	0.131
SLC25A3P1	163742	-0.366	0.004	0.075	0.012	0.057	-0.111
MIR765	768220	0.003	0.027	0.018	0.032	0.092	0.131
DNAJA1P5	94236	-0.523	-0.523	-0.523	-0.523	-0.523	-0.523
MIR4781	100616315	-0.366	0.004	0.075	0.012	0.057	-0.111
CYCSP52	360155	0.003	0.003	0.003	0.003	0.003	0.003
PADI4	23569	-0.264	-0.051	0.075	0.121	0.057	0.081
MIR4260	100422894	0.034	0.027	0.018	0.032	-0.042	-0.255
SERTAD4-AS1	574036	0.034	0.034	0.034	0.034	0.034	0.034
KIRREL-IT1	100505785	0.003	0.003	0.003	0.003	0.003	0.003
ELTD1	64123	-0.353	-0.499	-0.643	-0.254	-0.371	-0.834
FAM213B	127281	-0.185	-0.185	-0.185	-0.185	-0.185	-0.185
LINC00467	84791	-0.235	-0.235	-0.235	-0.235	-0.235	-0.235
RCC2	55920	-0.264	-0.051	0.075	0.121	0.057	0.081
VAV3-AS1	100873946	-0.552	-0.552	-0.552	-0.552	-0.552	-0.552
MIR3122	100422947	-0.235	0.027	0.018	0.032	-0.042	-0.255
TMEM240	339453	-0.185	-0.196	0.656	0.285	0.455	0.345
PEX19	5824	0.003	0.027	0.018	0.032	-0.042	0.02
OR4F5	79501	0.396	0.318	0.291	0.241	0.195	-0.011
SNORA16B	692157	-0.235	-0.235	-0.235	-0.235	-0.235	-0.235
SSU72	29101	-0.185	-0.196	0.656	0.285	0.455	0.345
OR4F29	26683	0.396	0.318	0.291	0.241	0.195	-0.011
OR4F29	81399	0.396	0.318	0.291	0.241	0.195	-0.011
OR4F29	729759	0.396	0.318	0.291	0.241	0.195	-0.011
OR4F16	26683	-0.185	0.036	0.027	0.251	-0.015	0.345
OR4F16	81399	-0.185	0.036	0.027	0.251	-0.015	0.345
OR4F16	729759	-0.185	0.036	0.027	0.251	-0.015	0.345
MIR4711	100616409	-0.583	-0.499	-0.643	-0.254	-0.371	-0.834
FLVCR1-AS1	642946	-0.235	0.027	0.018	0.032	-0.042	-0.255
SPATA42	642864	-0.552	-0.552	-0.552	-0.552	-0.552	-0.552
ARHGEF10L	55160	-0.264	-0.051	0.075	0.121	0.057	0.081
SAMD11	148398	-0.185	-0.185	-0.185	-0.185	-0.185	-0.185
SCARNA2	677766	-0.914	-0.906	-0.643	-0.254	-0.371	-0.502
MIR3116-1	100422902	-0.583	-0.499	-0.643	-0.254	-0.371	-0.834
MIR3116-1	100422946	-0.583	-0.499	-0.643	-0.254	-0.371	-0.834
MIR3116-2	100422902	-0.583	-0.499	-0.643	-0.254	-0.371	-0.834
MIR3116-2	100422946	-0.583	-0.499	-0.643	-0.254	-0.371	-0.834
C1orf233	643988	-0.185	-0.196	0.656	0.285	0.455	0.345
MIR5187	100847090	-0.425	0.027	0.018	0.032	-0.042	0.02
MMEL1	79258	-0.185	-0.185	-0.185	-0.185	-0.185	-0.185
COPA	1314	0.003	0.003	0.003	0.003	0.003	0.003
LINC00210	100885798	0.186	0.027	0.018	0.032	-0.042	-0.255
LAMTOR5-AS1	101410535	-0.509	-0.509	-0.509	-0.509	-0.509	-0.509
HSPA7	3311	-0.04	-0.04	-0.04	-0.04	-0.04	-0.04
CYMP	643160	-0.509	-0.539	-0.643	-0.254	-0.371	-0.502
RPL31P11	641311	-0.04	0.027	0.018	0.032	-0.042	0.02
LPHN2	23266	-0.353	-0.353	-0.353	-0.353	-0.353	-0.353
MIR215	406997	-0.05	0.027	0.018	0.032	-0.042	-0.255
MIR194-1	406969	-0.05	0.027	0.018	0.032	-0.042	-0.255
MIR4654	100616386	-0.04	0.027	0.018	0.032	-0.042	0.02
MIR4794	100616338	-0.583	-0.499	-0.643	-0.254	-0.371	-0.834
MIR556	693141	-0.04	0.027	0.018	0.032	-0.042	0.02
SNORA36B	677818	-0.05	-0.05	-0.05	-0.05	-0.05	-0.05
SNORA36B	100302234	-0.05	-0.05	-0.05	-0.05	-0.05	-0.05
NOC2L	26155	-0.185	-0.185	-0.185	-0.185	-0.185	-0.185
CHIAP2	149620	-0.509	-0.539	-0.643	-0.254	-0.371	-0.502
ACTL8	81569	-0.264	-0.051	0.075	0.121	0.057	0.081
MIR3117	100422871	-0.583	-0.499	-0.643	-0.254	-0.371	-0.834
IGSF21	84966	-0.264	-0.051	0.075	0.121	0.057	0.081
GNG12-AS1	100289178	-0.349	-0.349	-0.349	-0.349	-0.349	-0.349
PGCP1	441897	-0.509	-0.539	-0.643	-0.254	-0.371	-0.502
ZNF692	55657	0.314	0.027	0	0.097	0.018	-0.187
MIR1262	100302279	-0.349	-0.349	-0.349	-0.349	-0.349	-0.349
KLHDC7A	127707	-0.264	-0.051	0.075	0.121	0.057	0.081
PAX7	5081	-0.264	-0.051	0.075	0.121	0.057	0.081
PIN1P1	5301	-0.349	-0.349	-0.349	-0.349	-0.349	-0.349
MIR921	100126349	-0.04	0.027	0.018	0.032	-0.042	-0.442
MIR186	406962	-0.349	-0.499	-0.643	-0.254	-0.371	-0.834
ZRANB2-AS2	100852410	-0.349	-0.349	-0.349	-0.349	-0.349	-0.349
TAS1R2	80834	-0.264	-0.051	0.075	0.121	0.057	0.081
NEGR1-IT1	100852409	-0.349	-0.349	-0.349	-0.349	-0.349	-0.349
MIR320B2	100313769	-0.363	0.027	0.018	0.032	-0.042	-0.255
FMO9P	116123	-0.04	0.027	0.018	0.032	-0.042	-0.442
MIR4742	100616468	-0.363	0.027	0.018	0.032	-0.042	-0.255
AKR7A2P1	246182	-0.509	-0.509	-0.509	-0.509	-0.509	-0.509
ALDH4A1	8659	-0.264	-0.051	0.075	0.121	0.057	0.081
MIB2	142678	-0.185	-0.196	0.656	0.285	0.455	0.345
NCSTN	23385	0.003	0.003	0.003	0.003	0.003	0.003
TTC34	100287898	-0.185	0.083	0.2	0.285	0.455	0.345
AP4B1-AS1	100287722	-0.509	-0.509	-0.509	-0.509	-0.509	-0.509
ACTRT2	140625	-0.185	0.083	0.2	0.285	0.455	0.345
ITPKB-IT1	100506443	-0.031	-0.031	-0.031	-0.031	-0.031	-0.031
KLHL17	339451	-0.185	0.036	0.656	0.535	0.455	0.345
TTLL7	79739	-0.353	-0.353	-0.353	-0.353	-0.353	-0.353
MIR1255B2	100313835	-0.04	0.027	0.018	0.032	-0.042	-0.442
ANKRD36BP1	84832	-0.04	0.027	0.018	0.032	-0.042	-0.442
PRDM16	63976	-0.185	0.083	0.2	0.285	0.455	0.345
LINC00626	79100	-0.04	0.027	0.018	0.032	-0.042	-0.442
IFFO2	126917	-0.264	-0.051	0.075	0.121	0.057	0.081
ZNF847P	401983	-0.031	0.027	0.018	0.032	-0.042	0.191
PLEKHN1	84069	-0.185	-0.185	-0.185	-0.185	-0.185	-0.185
MIR5008	100847072	-0.031	0.027	0.379	0.032	0.575	0.191
MIR3620	100500810	-0.031	0.027	0.379	0.412	0.575	0.191
ATP1A1OS	84852	0.044	0.044	0.044	0.044	0.044	0.044
MIR3119-1	100422839	-0.04	0.027	0.018	0.032	-0.042	-0.442
MIR3119-1	100423010	-0.04	0.027	0.018	0.032	-0.042	-0.442
MIR3119-2	100422839	-0.04	0.027	0.018	0.032	-0.042	-0.442
MIR3119-2	100423010	-0.04	0.027	0.018	0.032	-0.042	-0.442
NHLH1	4807	0.003	0.027	0.018	0.032	-0.042	0.02
MIR548AC	100616384	0.044	0.191	-0.047	-0.043	0.114	-0.051
RNA5S1	100169751	-0.031	-0.031	-0.031	-0.031	-0.031	-0.031
RNA5S1	100169753	-0.031	-0.031	-0.031	-0.031	-0.031	-0.031
RNA5S1	100169754	-0.031	-0.031	-0.031	-0.031	-0.031	-0.031
RNA5S1	100169755	-0.031	-0.031	-0.031	-0.031	-0.031	-0.031
RNA5S1	100169756	-0.031	-0.031	-0.031	-0.031	-0.031	-0.031
RNA5S1	100169757	-0.031	-0.031	-0.031	-0.031	-0.031	-0.031
RNA5S1	100169758	-0.031	-0.031	-0.031	-0.031	-0.031	-0.031
RNA5S1	100169759	-0.031	-0.031	-0.031	-0.031	-0.031	-0.031
RNA5S1	100169761	-0.031	-0.031	-0.031	-0.031	-0.031	-0.031
RNA5S1	100169762	-0.031	-0.031	-0.031	-0.031	-0.031	-0.031
RNA5S1	100169763	-0.031	-0.031	-0.031	-0.031	-0.031	-0.031
RNA5S1	100169764	-0.031	-0.031	-0.031	-0.031	-0.031	-0.031
RNA5S1	100169765	-0.031	-0.031	-0.031	-0.031	-0.031	-0.031
RNA5S1	100169766	-0.031	-0.031	-0.031	-0.031	-0.031	-0.031
RNA5S1	100169767	-0.031	-0.031	-0.031	-0.031	-0.031	-0.031
RNA5S1	100169768	-0.031	-0.031	-0.031	-0.031	-0.031	-0.031
RNA5S2	100169751	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S2	100169753	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S2	100169754	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S2	100169755	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S2	100169756	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S2	100169757	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S2	100169758	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S2	100169759	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S2	100169761	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S2	100169762	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S2	100169763	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S2	100169764	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S2	100169765	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S2	100169766	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S2	100169767	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S2	100169768	0.027	0.027	0.027	0.027	0.027	0.027
VANGL2	57216	0.003	0.027	0.018	0.032	-0.042	0.02
RNA5S3	100169751	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S3	100169753	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S3	100169754	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S3	100169755	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S3	100169756	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S3	100169757	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S3	100169758	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S3	100169759	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S3	100169761	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S3	100169762	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S3	100169763	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S3	100169764	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S3	100169765	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S3	100169766	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S3	100169767	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S3	100169768	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S4	100169751	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S4	100169753	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S4	100169754	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S4	100169755	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S4	100169756	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S4	100169757	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S4	100169758	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S4	100169759	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S4	100169761	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S4	100169762	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S4	100169763	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S4	100169764	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S4	100169765	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S4	100169766	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S4	100169767	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S4	100169768	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S5	100169751	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S5	100169753	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S5	100169754	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S5	100169755	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S5	100169756	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S5	100169757	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S5	100169758	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S5	100169759	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S5	100169761	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S5	100169762	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S5	100169763	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S5	100169764	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S5	100169765	0.027	0.027	0.027	0.027	0.027	0.027
RNA5S5	100169766	0.027	0.027	0.027	0.027	0.027	0.027
